2023-07-21 06:56:39,654-INFO-Exception : n9ZnfBHhdnt11vZ - ORA-06550: line 1, column 7:
PLS-00221: 'SLT_CUST_FEATURE_UPD_API' is not a procedure or is undefined
ORA-06550: line 1, column 7:
PL/SQL: Statement ignored
2023-07-21 06:58:47,027-INFO-Exception : 44rTp1kGwSA151c - ORA-06550: line 1, column 7:
PLS-00221: 'SLT_CUST_FEATURE_UPD_API' is not a procedure or is undefined
ORA-06550: line 1, column 7:
PL/SQL: Statement ignored
2023-07-21 11:49:19,871-INFO-Exception : DFjw6TGcjh0dsHo - expecting an array of two elements [type, numelems]
2023-07-21 11:55:10,897-INFO-Exception : lKD6oEZsUAFzAph - expecting an array of two elements [type, numelems]
2023-07-21 12:12:18,871-INFO-Exception : TynlLARacGFBvnp - name 'string' is not defined
2023-07-21 15:55:11,219-INFO-DB conn : ExXxNB1Jb1Xm6LX - <cx_Oracle.Connection to sasith_rpt@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-21 15:56:49,332-INFO-DB conn : 77vTbAFV1yxNpuJ - <cx_Oracle.Connection to sasith_rpt@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-21 16:23:01,029-INFO-DB conn : uQjpyX8TkWXKzEz - <cx_Oracle.Connection to sasith_rpt@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-21 16:53:01,519-INFO-DB conn : jhyVG8pIIvlhxps - <cx_Oracle.Connection to sasith_rpt@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-21 16:55:43,712-INFO-DB conn : CLxM1niLVPCfFlu - <cx_Oracle.Connection to sasith_rpt@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-21 16:55:43,712-INFO-DB conn : CLxM1niLVPCfFlu @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to sasith_rpt@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-07-21 20:03:12,488-INFO-DB conn : JgSVqnYRIFa4ggM - <cx_Oracle.Connection to sasith_rpt@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-21 20:03:12,489-INFO-Cursor conn : JgSVqnYRIFa4ggM @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to sasith_rpt@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-07-21 21:05:02,785-INFO-DB conn : QsiIjKPs8zTlzz6 - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-21 21:05:02,786-INFO-Cursor conn : QsiIjKPs8zTlzz6 @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-07-21 21:09:28,474-INFO-DB conn : VzOiX6c2FJFa5Vo - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-07-21 21:09:28,474-INFO-Cursor conn : VzOiX6c2FJFa5Vo @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
